,score,nr of students,GDP pp,expenditure,older.w.edu,immigrant,soc.stat,size,boys happy,girls happy,avg happy,internet,soc.ineq.interest.math,poetry books,idealness.gender.diff,perc.boys.top,perc.girls.top,diff.gender.top,perc.boys.bot,perc.girls.bot,diff.gender.bot,ESCS,quite.study.place,computer.at.home,books.at.home,prop.of.stud.under-1,lvl.5.boys,lvl.5.girls,diff.gen.lvl5,GINI,% of lvl 6 (>669 score),% with single parents,mom not working,Never late,internet,books,geographical,happy,Look forward to math,Parents in STEM,unlucky,"good, 3)"
Australia,504.15,17774,40801.34,98024.82,41.04,22.2,6.8,288159,80.3,79.1,79.7,97.2,10.5,35.8,-1.1,5.35,3.18,2.17,5.93,6.35,-0.42,0.25,91.6,97.8,180.4,6.79,11.69,9.27,2.42,30.3,4.3,13.5,25.2,64.5,97.2,180.4,Europe,79.7,45.3,9.5,37.7,51.9
Austria,505.54,4756,40410.8,116603.18,21.31,16.51,8.3,89073,79.1,80.78,79.94,98.8,2.5,56.5,-0.7,4.71,1.83,2.88,4.89,6.51,-1.62,0.08,96.6,98.3,163,8.31,13.29,8.77,4.53,26.3,3.3,13.5,20,79.1,98.8,163,Europe,79.94,32.6,13,54.1,49.8
Belgium,514.53,9690,37877.85,97125.52,39.37,15.39,10.5,121493,82.5,86.46,84.48,98.2,10.3,31.8,-0.9,7.35,4.88,2.47,6.88,7.04,-0.16,0.15,96.2,96.9,150.4,10.48,14.96,11.87,3.08,28,6.1,13.6,23.4,72.7,98.2,150.4,Europe,84.48,24.2,14,53.8,62.4
Canada,518.08,21548,40135.59,80396.54,57.97,29.64,5.6,409453,81.2,80.57,80.89,98,12,34,2.8,5.52,3.12,2.4,3.69,3.58,0.11,0.41,86.9,97.3,167.2,5.65,13.5,10.65,2.85,32.1,4.3,12.7,21.6,56.9,98,167.2,Europe,80.89,39.7,17.8,36.8,50.2
Chile,422.63,6857,17311.56,32250.45,29.8,0.86,37.9,252733,84.1,85.93,85.02,76.3,-6.1,53.9,4.1,0.2,0.06,0.13,17.62,26.1,-8.48,-0.58,71.3,85.8,69.7,37.88,2.11,0.83,1.28,52.1,0.1,22.6,46.5,47,76.3,69.7,Other,85.02,50.5,14.4,39.4,70.6
Czech Republic,498.96,6535,25363.9,54518.89,17.92,3.14,9.1,93214,59.9,67.05,63.47,97.4,7.8,43.5,1.2,3.77,2.67,1.1,6.83,6.77,0.06,-0.07,98.9,97.4,160.7,9.14,10.6,8.64,1.96,31,3.2,17.6,17.2,73,97.4,160.7,Europe,63.47,33.9,17.8,79.8,67.4
Denmark,500.03,7481,40600.19,109745.98,37.47,9.32,4.3,70854,85,87.1,86.05,99.6,13.4,29.7,2.6,2.06,1.25,0.8,3.96,4.74,-0.78,0.43,90.3,99.2,149.8,4.35,9.48,7.14,2.33,24.8,1.7,15.1,17.5,61.5,99.6,149.8,Europe,86.05,51.5,15.6,51.7,51
Estonia,520.55,5867,20093.22,55519.81,35.04,7.9,7.8,12438,64.8,68.31,66.56,98.9,13.1,72,7.3,4.14,3.05,1.09,1.96,2,-0.04,0.11,97.7,89.5,176,7.75,12.14,9.9,2.24,31.3,3.6,19.2,18,58.9,98.9,176,Europe,66.56,27.4,12.1,62.2,63.2
Finland,518.75,8829,36029.52,86232.67,46.79,3.39,4,62195,65,68.83,66.91,99.6,20.9,51.6,6.5,4.21,2.84,1.36,4.04,2.61,1.43,0.36,94.3,98.9,153.2,4.03,12.11,11.29,0.82,26.8,3.5,15.9,14.8,57,99.6,153.2,Europe,66.91,24.8,15.5,41.3,54
France,494.98,5682,34394.57,83581.91,35.61,15.04,11.8,755447,77.9,83.72,80.81,98.1,9.2,42.2,-1.8,4.09,2.22,1.87,8.77,8.69,0.08,-0.04,98.2,96.8,142.8,11.79,11.22,8.39,2.83,32.7,3.1,15.1,21.6,67.7,98.1,142.8,Europe,80.81,23.8,13.3,48.1,67.2
Germany,513.53,5001,37660.74,80795.63,28.92,13.11,9.9,798136,79,79.83,79.42,98.6,6.8,57.8,-1.1,5.96,3.36,2.6,5.3,5.8,-0.5,0.19,96.8,98.2,194.4,9.86,13.96,11.55,2.41,27,4.7,13.3,22.8,77.3,98.6,194.4,Europe,79.42,36.9,16,49.9,49.8
Greece,452.97,5125,27538.94,1000,27.85,10.54,18.6,105096,71.1,77.97,74.53,87.7,14.1,44.6,2.4,0.97,0.33,0.64,15.57,13.36,2.21,-0.06,97.9,91.9,144.7,18.56,4.16,2.37,1.78,33,0.6,8.7,43.2,50.7,87.7,144.7,Europe,74.53,36.8,10.7,53.8,60.9
Hungary,477.04,4810,20625.08,46598.4,21.47,1.7,23.7,108816,76.7,83.19,79.94,93.6,5.8,66.4,-4.2,3,1.31,1.69,9.86,9.94,-0.08,-0.25,97.8,94,221.6,23.71,8.22,6.13,2.09,24.7,2.1,20.6,25.7,75.9,93.6,221.6,Europe,79.94,30.3,10.4,53.2,63.1
Iceland,492.8,3508,35509.46,93985.93,39.19,3.54,1.9,4491,90.2,90.61,90.4,99.6,15.5,72,1.4,2.57,1.96,0.62,9.03,5.84,3.18,0.78,95,99,208.1,1.92,8.9,8.87,0.02,28,2.3,10.7,15.8,65,99.6,208.1,Europe,90.4,39.7,18.5,39.3,49.5
Ireland,501.5,5016,41000.44,93116.77,43.47,10.74,9.2,57979,80.7,83.1,81.9,97.9,7.2,35.6,-1.1,2.93,1.37,1.56,4.52,5.13,-0.6,0.13,89.3,95.2,155.5,9.21,9.77,7.16,2.61,33.9,2.2,10.9,37.2,72.6,97.9,155.5,Europe,81.9,40.2,10.4,37.6,53.9
Israel,466.48,6061,26551.99,57012.81,49.63,18.45,8.9,113278,86.6,90.62,88.61,91.5,-6.5,52.2,1.5,3.37,1.03,2.34,17.82,13.99,3.83,0.17,95.3,94.2,184.1,8.86,9.89,4.56,5.33,39.2,2.2,1000,28.1,45.7,91.5,184.1,Europe,88.61,42.3,17,42,50.9
Italy,485.32,38142,32109.75,84416.38,16.61,7.45,18.4,566973,71.4,80.03,75.72,96.9,7,56.9,1.5,3.11,1.14,1.97,8.21,8.88,-0.67,-0.05,97.1,96.7,152.2,18.38,9.86,5.52,4.34,31.9,2.2,9.5,37.2,64.8,96.9,152.2,Europe,75.72,29,13,40.4,70.6
Japan,536.41,6351,35237.91,89723.6,51.19,0.3,10,1214756,83.7,87.31,85.5,88.6,13.9,25.8,0.5,9.87,5.15,4.72,3.31,2.99,0.33,-0.07,95.1,70.1,169.9,9.97,17.95,13.93,4.02,37.6,7.6,12.1,22.1,91.1,88.6,169.9,Asia,85.5,33.7,12.1,21.4,54.9
Korea,553.77,5033,28828.78,69037.12,49.47,0.02,9.5,672101,60.5,60.33,60.42,97.2,15.4,63.1,-2.8,15.45,8.31,7.14,2.85,2.56,0.29,0.01,96.3,94.5,228.6,9.53,19.86,17.53,2.32,41.9,12.1,8.8,40.6,74.9,97.2,228.6,Asia,60.42,21.8,13.7,38.3,47
Luxembourg,489.85,5260,84672.03,197597.57,39.93,47.01,18.7,6082,79.5,80.04,79.77,97.8,1.2,52.1,-3.2,3.88,1.36,2.52,7.05,10.6,-3.55,0.07,97,96.8,234,18.73,10.2,6.92,3.28,26,2.6,12.2,27.9,70.9,97.8,234,Europe,79.77,35.7,12.2,53.5,53.2
Mexico,413.28,33806,15195.06,23912.73,15.37,1.28,56,1472875,89.5,92.26,90.88,47.4,-8.9,44.6,-1.3,0.06,0.01,0.05,20.66,24.91,-4.26,-1.11,75.4,57.3,45.3,55.95,0.88,0.32,0.56,48.3,0,15.2,59.3,60.1,47.4,45.3,Other,90.88,70.6,10.9,27.8,62.5
Netherlands,522.97,4460,41681.51,95072.26,34.15,10.76,5.9,193190,81.2,83.49,82.34,99.5,10.2,28.3,-6.8,5.34,3.34,2.01,3.41,4.27,-0.86,0.23,95.7,98.2,143.5,5.91,16.13,13.59,2.54,30.9,4.4,11.2,22.4,69.7,99.5,143.5,Europe,82.34,19.8,15,67.4,50.3
New Zealand,499.75,5248,29629.39,70650.45,41.04,27.23,11.5,59118,82,80.48,81.24,92.6,5.8,37.3,3.4,5.86,3.15,2.71,7.93,7.09,0.85,0.04,84.2,93.6,174.2,11.5,12.02,8.84,3.18,36.2,4.5,19.6,23.8,57.9,92.6,174.2,Europe,81.24,46.1,13.5,35.8,52.3
Norway,489.37,4686,44825.5,123590.5,41.55,9.74,2.6,64777,85,88.72,86.86,99.4,14.9,45,-0.6,2.37,1.79,0.58,7.71,6.75,0.96,0.46,96.6,98.6,192.2,2.61,7.59,7.02,0.57,25,2.1,10.7,14,70.8,99.4,192.2,Europe,86.86,33.2,14.4,60,58.1
Poland,517.5,5662,20033.81,57643.69,24.37,0.15,19.2,410700,68,68.9,68.45,95.3,9.4,47.4,5,6.12,3.92,2.21,3.66,2.92,0.75,-0.21,97.5,97.2,141.7,19.15,12.01,11.48,0.53,34.1,5,16.4,30,57.6,95.3,141.7,Europe,68.45,21.3,10,56.4,54.7
Portugal,487.06,5722,25519.03,70369.52,18.57,6.88,39.8,127537,86,86.84,86.42,95.3,7.7,50.1,0.9,2.88,1.34,1.54,9.17,8.61,0.56,-0.48,95.3,96.9,111.5,39.81,9.71,7.29,2.42,38.5,2.1,12.3,25.8,44.8,95.3,111.5,Europe,86.42,32.6,10.9,62.1,65.8
Slovak Republic,481.64,5737,23193.62,53160.21,17.31,0.65,15,59367,59.8,69.39,64.6,92.9,1.6,60.6,0.2,4.26,1.88,2.37,10.8,11.38,-0.58,-0.18,90.8,91.9,115.8,14.99,9.31,6.22,3.09,26,3.1,14.9,24.2,73.8,92.9,115.8,Europe,64.6,30.8,12.3,73.6,63.4
Slovenia,501.13,7229,26649.2,91784.61,28.01,8.63,11.2,18935,75.4,81.74,78.57,99.1,8.2,60.5,9.5,3.94,2.89,1.05,5.13,4.98,0.16,0.07,99.4,98.5,121.4,11.16,10.89,9.63,1.26,23.8,3.4,10.8,15.7,60.4,99.1,121.4,Europe,78.57,29.9,22,58.8,65.7
Spain,484.32,25335,31573.51,82178.17,37.08,9.93,23.1,404374,84.8,89.7,87.25,94.7,7.7,57,-1.1,1.87,0.66,1.2,7.31,8.23,-0.92,-0.19,98,96.1,170.8,23.08,8.72,4.67,4.05,32,1.3,10.2,33.3,64.7,94.7,170.8,Europe,87.25,25.7,8.8,45.8,74.4
Sweden,478.26,4739,39251.2,95830.6,39.05,15.13,5.7,102027,85.2,84.74,84.97,99.3,13.9,34.8,12.9,1.88,1.23,0.65,11.02,8.05,2.97,0.28,90.3,98.6,181.4,5.73,6.94,5.96,0.98,23,1.6,9.4,11.4,44.4,99.3,181.4,Europe,84.97,36.2,14.1,49.7,55.7
Switzerland,530.93,11234,48961.98,127321.76,39.44,24.77,10.4,85239,85.5,88.8,87.15,99,-2.3,37.9,-2.9,8.04,5.47,2.58,3.5,3.63,-0.12,0.17,97.8,97.7,150.7,10.37,15.86,13.36,2.5,29.6,6.8,13.6,24.1,75.7,99,150.7,Europe,87.15,38.9,16.8,48.5,53.7
Turkey,447.98,4848,15775.36,19820.95,13.45,0.92,68.7,965736,79.8,86.37,83.09,57.3,-4.1,59.6,-0.2,1.53,0.86,0.67,14.87,16.12,-1.25,-1.46,85.3,68,81,68.74,5.53,3.8,1.73,40.2,1.2,4.2,85.5,56.2,57.3,81,Other,83.09,48.9,16.9,58.1,66
United Kingdom,493.93,12659,35298.67,98023.2,42.59,12.92,5.6,745581,83.4,83.09,83.25,98.4,8.7,38.6,0.4,3.15,2.61,0.55,7.22,8.41,-1.2,0.27,84.9,97.1,155.5,5.57,10.28,7.68,2.6,40,2.9,16.6,23.7,68.2,98.4,155.5,Europe,83.25,50.9,13.7,39,54.8
United States,481.37,6111,46548.13,115961.47,44.62,21.4,13.4,4074457,78.9,80.44,79.67,92.6,3.6,39.1,2.6,2.44,1.93,0.52,8.45,7.44,1,0.17,77.7,91,116.2,13.4,9.67,5.94,3.73,45,2.2,20.3,26.2,69.9,92.6,116.2,Europe,79.67,45.4,12.7,35.5,45.6
Albania,394.33,4743,8630.99,1000,1000,0.28,1000,50157,93.4,94.69,94.04,54.3,1000,79.6,-1.3,0.02,0.04,-0.01,33.05,31.97,1.08,1000,91.9,64.8,54.3,1000,0.74,0.79,-0.05,34.5,0,1000,1000,64.7,54.3,54.3,Other,94.04,73.3,15.4,70.9,76.5
Argentina,388.43,5908,15868.14,1000,1000,3.76,41.2,637603,75.8,78.06,76.93,74.4,-15,53.6,5.4,0.01,0,0.01,31.83,37.76,-5.94,-0.72,82.9,83.8,66.9,41.17,0.42,0.12,0.29,45.8,0,19.5,46.2,53,74.4,66.9,Other,76.93,45.9,8.8,48.9,67.1
Brazil,391.46,20091,12536.59,26765.49,11.8,0.63,58.8,2786064,83.3,86,84.65,74.7,-15,51.6,6.3,0.06,0.03,0.02,31.09,39.01,-7.92,-1.17,65,71.8,41.6,58.85,1.04,0.41,0.63,51.9,0,20.6,43.5,66.3,74.7,41.6,Other,84.65,43.9,3.8,54.5,60.1
Bulgaria,438.74,5282,14203.36,31943.96,1000,0.33,24.3,59684,77.6,83.4,80.5,93.4,-1.6,63.8,2.2,0.76,0.61,0.16,21.41,18.45,2.96,-0.28,91.4,93.2,115.8,24.35,3.71,3.02,0.69,45.3,0.7,12.7,20.7,41,93.4,115.8,Europe,80.5,35.1,12.4,85.2,81
Colombia,376.49,11173,9555.29,20362.03,1000,0.28,56.4,620422,91.7,92.61,92.15,53.9,-9.3,54.7,0.8,0.04,0.01,0.02,35.21,47.38,-12.17,-1.26,68,62.9,40.3,56.36,0.43,0.14,0.29,58.5,0,23.9,46.6,64.1,53.9,40.3,Other,92.15,58.8,6.6,49,68
Costa Rica,407,4602,11578.69,1000,1000,5.39,49.2,64326,90.1,91.07,90.59,66.4,-10.9,33.6,5.9,0.14,0,0.14,18.95,27.79,-8.84,-0.98,81.1,73.7,45.3,49.18,0.85,0.19,0.65,50.3,0.1,22.6,55.3,42.5,66.4,45.3,Other,90.59,44.3,13.6,30.8,62.1
Croatia,471.13,6153,19025.93,38992.49,1000,12.17,21.7,46550,85.9,88.04,86.97,95.6,1.6,33.2,4.4,2.25,0.98,1.27,9.35,9.66,-0.31,-0.34,98.3,94.2,82.7,21.68,6.46,4.21,2.25,32,1.6,8.1,37.8,66.1,95.6,82.7,Europe,86.97,27.2,19.2,63.5,62.7
Cyprus23,439.7,5078,30307.06,109575.05,1000,8.7,1000,9956,71,83,77,96.4,15.9,44.5,-2.1,1,0.27,0.73,21.89,16.07,5.82,0.09,97.8,96.7,142.9,1000,4.18,1.9,2.28,29,0.6,8.9,27.3,52.3,96.4,142.9,Europe,77,38.5,13,47.3,56.2
Hong Kong-China,561.24,4670,47274.22,1000,1000,37.7,45.2,77864,86,86.6,86.3,99.3,6.6,49.6,4.4,15.34,8.68,6.66,2.7,2.43,0.28,-0.79,92.5,98.8,104.4,45.23,22.57,20.14,2.43,53.7,12.3,13.3,37.5,85.4,99.3,104.4,Asia,86.3,49.8,10.7,22.2,56.4
Indonesia,375.11,5622,4638.49,1000,1000,0.17,76.7,3599844,95.1,96.47,95.78,23.1,-12,37,3.8,0,0.01,-0.01,41.41,43.24,-1.83,-1.8,71.2,25.8,63.4,76.74,0.33,0.21,0.13,36.8,0,7.4,61.1,73,23.1,63.4,Asia,95.78,72.3,5.4,59.4,79.4
Jordan,385.6,7038,5752.27,7124.63,1000,13.52,27.9,125333,80.9,86.53,83.72,65.3,5.7,42,2.7,0.15,0,0.15,43.25,29.86,13.4,-0.42,66.9,83.3,84.3,27.92,0.78,0.2,0.57,39.7,0.1,9.7,82.6,64.6,65.3,84.3,Other,83.72,67.3,34.9,65.5,63.3
Kazakhstan,431.8,5808,12091.67,1000,1000,15.98,20.1,247048,89.3,91.59,90.45,55.1,2,74,-1.2,0.07,0.09,-0.01,15.32,13.76,1.56,-0.32,92.4,65.8,90.1,20.1,1.02,0.7,0.32,28.9,0.1,14.1,38.4,71.8,55.1,90.1,Europe,90.45,71,16.4,43,41.8
Latvia,490.57,5276,16902,45342.47,1000,4.5,24.3,18389,65.9,69.4,67.65,92.9,5.1,66.8,4,1.76,1.28,0.48,5.33,4.31,1.01,-0.26,97.9,93.1,153.7,24.27,6.92,6,0.92,35.2,1.5,20.1,21.3,43.7,92.9,153.7,Europe,86.83,20.8,10,76.7,60
Lithuania,478.82,4618,18022.12,44962.88,1000,1.46,21.5,35567,73.8,82.09,77.94,93.8,0.4,53.8,-3.2,1.89,0.98,0.9,9.49,7.98,1.51,-0.13,98.7,95.8,120.4,21.49,7.65,5.58,2.07,35.5,1.4,15.7,25.2,56.3,93.8,120.4,Europe,77.94,39.6,8.5,72.2,67.7
Macao-China,538.13,5335,60396.58,1000,1000,67.43,48.6,5416,82.1,81.44,81.77,98.4,3.8,41.2,4.3,8.23,6.86,1.37,3.75,2.66,1.09,-0.89,85.6,97.1,68.4,48.6,17.87,15.62,2.25,1000,7.6,13.6,23.7,74.9,98.4,68.4,Asia,81.77,41.7,6.4,39.2,54.5
Malaysia,420.51,5197,15076.98,16816.45,1000,1.65,40.5,457999,89.2,93.56,91.38,62.9,4,40.9,-3.7,0.12,0.1,0.02,25.4,20.68,4.71,-0.72,86.2,68.4,102.1,40.48,1.3,1.17,0.12,46.2,0.1,12.3,60.4,66.4,62.9,102.1,Asia,91.38,77.9,12.9,44.9,53.9
Peru,368.1,6035,9350.02,12431.4,1000,0.46,59.9,508969,92.6,94.54,93.57,41.9,-8.2,72.6,3,0.05,0,0.05,42.64,51.06,-8.42,-1.23,76.2,52.2,47.3,59.91,0.68,0.42,0.27,46,0,17,48.6,47.2,41.9,47.3,Other,93.57,65.6,6.2,37.6,60.1
Qatar,376.45,10966,77264.67,1000,1000,52.74,7,11532,74.9,75.45,75.17,92.3,-1,55.5,3.5,0.3,0.31,-0.02,50.91,42.81,8.1,0.44,82.4,92,130.4,6.96,1.9,1.51,0.39,41.1,0.3,10.9,62,60.5,92.3,130.4,Other,75.17,60,34.2,52.7,55.2
Romania,444.55,5074,14530.71,1000,1000,0.14,26,146243,76,78.86,77.43,81,-3.5,83.2,0.5,0.88,0.31,0.57,13.88,14.07,-0.19,-0.47,95.2,87.2,106.4,26.01,2.83,2.35,0.48,33.2,0.6,13.8,39.5,54.2,81,106.4,Europe,77.43,62.6,19.3,64.8,68.9
Russian Federation,482.17,6418,19810.57,1000,54.85,10.58,12.3,1268814,69.6,74.93,72.27,92.2,2,77.5,4.2,1.45,1.54,-0.09,7.91,7.09,0.81,-0.11,98.4,92.9,148.3,12.31,6.31,6.29,0.02,41.7,1.5,22.3,23.8,53.3,92.2,148.3,Europe,72.27,45.9,16,55.7,65.4
Serbia,448.86,4684,11421.16,1000,1000,8.48,24,75870,78.6,83.25,80.92,89.5,-3,69.8,8.7,1.47,0.64,0.83,14.51,16.48,-1.97,-0.3,98.4,95.2,99.4,23.99,4.25,2.78,1.47,28.2,1.1,8.8,40.6,58.2,89.5,99.4,Europe,80.92,25.1,17.3,66.6,63.4
Shanghai-China,612.68,6374,18805.44,49005.52,1000,0.87,27.2,90796,84.4,84.81,84.6,85.8,6.1,77,0,32.78,28.98,3.8,1.01,0.69,0.31,-0.36,97.6,83,109.5,27.21,23.94,25.22,-1.28,1000,30.8,9.4,25,83.4,85.8,109.5,Asia,84.6,54.4,12,32.7,50.4
